newsHeadline,sentiment,preprocessed_txt
Turnover rose to EUR21m from EUR17m .,positive,turnover rose eur21m eur17m
"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .",positive,xerox stora enso teamed increase tailor igen3 shortrun ondemand packaging market
YIT Construction and the town of Riihim+Æki have signed a lease contract whereby the town will occupy the Travel Centre office facilities .,positive,yit construction town riihimæki signed lease contract whereby town occincreasey travel centre office facility
"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .",positive,increasegrade intended raise network capacity 450 mhz 630 mhz several city enabling bidirectional service digital television well broadband data
The Finnish company Stockmann has signed the contract with the company Technopolis .,neutral,finnish company stockmann signed contract company technopolis
"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .",neutral,according notice skandinaviska enskilda banken ab publ helsinki branch 10 august 2009 divested total 11958000 alma medium share ilkkayhtyma oyj kaleva kustannus oy condition agreement made company 1 july 2009 fulfilled
"As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M .",neutral,previously announced geosentric oyj entered financing agreement lead investor june 30 2010 enabling company receive financing increase aggregate amount 6m
"At the same time , the market for automated liquid handling devices is already larger than that for pipettes , according to Biohit .",neutral,time market automated liquid handling device already larger pipette according biohit
Efore 's CEO Reijo Maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to Chinese sector company ZTE Corp SHE : 000063 .,neutral,efore ceo reijo maihaniemi said company developed already delivered power sincreaseply unit respective system based technology chinese sector company zte corp 000063
Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m .,neutral,finnish talvivaara mining co hel tlv1v said thursday picked bofa merrill lynch jpmorgan nyse jpm joint bookrunners planned issue convertible note worth increase eur250m usd332m
"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .",positive,lead production turn increase 60000 tonne 2009 twofold increase current capacity level zahariev said
"Lemminkainen Oyj said that it has signed credit agreements with Nordea Bank STO : NDA , Pohjola Bank HEL : POH1S , Sampo Bank HEL : SAMAS and Svenska Handelsbanken STO : SHB A .",neutral,lemminkainen oyj said signed credit agreement nordea bank sto nda pohjola bank hel pohalf 1 sampo bank hel samas svenska handelsbanken sto shb
Pohjola could increase its stake to 45 % in 2013 .,neutral,pohjola increase stake 45 percent 2013
Scandic Feed will also diversify Tosno 's product portfolio further .,neutral,scandic feed diversify tosno product portfolio
"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",positive,separately yit corporation austrian firm e ag last signed agreement sale e building system service business germany austria poland czech republic hungary romania eur 55 mln
The agreement with JM is one in a series of contracts that TeliaSonera has signed in recent months with residential construction and real estate management companies in Sweden .,neutral,agreement jm one series contract teliasonera signed recent month residential construction real estate management company sweden
The company intends to raise production capacity in 2006 .,positive,company intends raise production capacity 2006
"The estimated value of the contract is EUR12 .4 m. Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .",neutral,estimated value contract eur12 4 vaisala headquartered helsinki finland develops manufacture electronic measurement system meteorology environmental science traffic industry
"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",neutral,mall part baltic pearl development project city st petersburg baltic pearl cjsc subsidiary shanghai foreign joint investment company developing home 35000 people
"The new facility , to be known as Technopolis Pulkovo , will introduce to the Russian market an entirely new concept of creating , operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive companies .",neutral,new facility known technopolis pulkovo introduce russian market entirely new concept creating operating growing commerciallyfunded science technology park sincreaseport growth knowledgeintensive company
"Thereby , the company will expand its offering to North , Central and South America .",positive,thereby company expand offering north central south america
"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .",positive,member partner use mostly apparent increased efficiency result service observes perttu puro tradeka
Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397,neutral,vacon control 5 percent company via investment fund power fund eur 10 usd 1397
"` This order is included in Wartsila 's order book in the second quarter , ' the company added .",neutral,order included wartsila order book second quarter company added
`` Management decided at the end of 2005 to increase cathode copper capacity .,neutral,management decided end 2005 increase cathode copper capacity
4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. .,neutral,4 complete name shareholder otto henrik bernhard nyberg 5 information amount share transferred corresponds 568 percent total number share aspo plc
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces .",neutral,data processing unit collect data calculates rvr value provides data user via various interface
A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,negative,tinyurl link take user scamming site promising user earn thousand dollar becoming google nasdaq goog cash advertiser
"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,alexandria va march 28 pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland developed ornamental design handset u patent trademark office announced
"ALEXANDRIA , Va. , Oct. 3 -- Markka A. Oksanen and Harald Kaaja , both of Helsinki , Finland , Juha Salokannel of Kangasala , Finland , and Arto Palin of Viiala , Finland , have developed a system for providing communications security .",neutral,alexandria va oct 3 markka oksanen harald kaaja helsinki finland juha salokannel kangasala finland arto palin viiala finland developed system providing communication security
"As earlier reported , Nokian Tyres is building a plant in the town of Vsevolozhsk in Russia 's Leningrad Region with an annual production capacity of 4 million tires .",neutral,earlier reported nokian tyre building plant town vsevolozhsk russia leningrad region annual production capacity 4 million tire
"Biohit , Inc. , has expanded its mLINE Family of Pipettors with the addition of the NEW 1-10 ml volume range .",neutral,biohit inc expanded mline family pipettors addition new 110 ml volume range
"Capman , the Finnish alternative asset manager , has made an acquisition for its Helsinki-focused vehicle , Real Estate Fund I. The fund has bought a seven-story office built in 1973 that underwent refurbishment at the end of the 1990s .",neutral,capman finnish alternative asset manager made acquisition helsinkifocused vehicle real estate fund fund bought sevenstory office built 1973 underwent refurbishment end 1990s
"Compared with the FTSE 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 % .",negative,compared ftse 100 index rose 367 point 06 percent day relative price change 02 percent
"Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .",neutral,compared ftse 100 index rose 515 point 09 percent day relative price change 06 percent
"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",negative,compared ftse 100 index rose 949 point 16 percent day relative price change 04 percent
"Deliveries are to start later in 2010 , and the volume will increase in the years 2011-2012 .",neutral,delivery start later 2010 volume increase year 20112012
"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference .",positive,finland nokian tyre kazakhstan ordabasy corporation signed agreement build plant astana produce car tire ordabasy chairman dinmukhamet idrisov said press conference
Finnish business software group AffectoGenimap Oyj said it had signed an agreement to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,positive,finnish business software groincrease affectogenimap oyj said signed agreement acquire share swedish sector company intellibis ab 12 mln euro dollar 158 mln debtfree basis
"Finnish heat-retaining fireplaces maker Tulikivi Oyj said on August 29 , 2007 that its local tiled stoves and utility ceramics subsidiary Kermansavi Oy will merge into Tulikivi by means of absorption in order to streamline the latest 's corporate structure .",neutral,finnish heatretaining fireplace maker tulikivi oyj said august 29 2007 local tiled stove utility ceramic subsidiary kermansavi oy merge tulikivi mean absorption order streamline latest corporate structure
"Finnish silicon wafers manufacturer Okmetic Oyj said on June 29 , 2007 it signed an agreement with Nordea Bank Finland Plc , the local subsidiary of Swedish commercial bank Nordea Bank AB , which will refinance Okmetic 's syndicated bank facility which amounts to some 20 mln euro ( $ 26.9 mln ) .",positive,finnish silicon wafer manufacturer okmetic oyj said june 29 2007 signed agreement nordea bank finland plc local subsidiary swedish commercial bank nordea bank ab refinance okmetic syndicated bank facility amount 20 mln euro dollar 269 mln
"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands .",positive,furthermore bunge sign licensing agreement sunnuntai carlshamn mejeri brand
"German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers , and Dutch ING ( AMS : INGA ) as co-arranger .",neutral,german commerzbank ag hamburg branch u jp morgan nyse jpm participated arranger dutch ing am inga coarranger
"In April 2005 , Neste separated from its parent company , Finnish energy company Fortum , and became listed on the Helsinki Stock Exchange .",neutral,april 2005 neste separated parent company finnish energy company fortum became listed helsinki stock exchange
"In Russia , Raisio 's Food Division 's home market stretches all the way to Vladivostok .",neutral,russia raisio food division home market stretch way vladivostok
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,september 2010 finnish groincrease agreed buy danish company rose poultry increase eur23 9 combination cash stock
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,neutral,increase number share based option right granted management company stock option plan 2006
"is planning to expand its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .",positive,planning expand product portfolio harbor segment chief executive pekka lundmark told financial time deutschland
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .,neutral,30 office worldwide 90 pct net sale generated outside finland
It has80 branches in Finland with annual revenue in Finland of ?,neutral,has80 branch finland annual revenue finland
"KAUKO-TELKO LTD PRESS RELEASE 19.06.2007 AT 14.00 1 ( 1 ) Telko Group ( Kauko-Telko ) is expanding its strategic partnership with BP Industrial Lubricants & Services ( BP ILS ) by acquiring total ownership of BP 's Swedish retail company , Molub-Alloy AB .",positive,kaukotelko ltd press release 19062007 1400 1 1 telko groincrease kaukotelko expanding strategic partnership bp industrial lubricant service bp il acquiring total ownership bp swedish retail company moluballoy ab
"MILAN ( AFX ) - The Italian shipping group Grimaldi has increased its stake in the Finnish company Finnlines to 35.4 pct from the 30.5 pct held in June , according to news agency ANSA .",neutral,milan afx italian shipping groincrease grimaldi increased stake finnish company finnlines 354 pct 305 pct held june according news agency ansa
Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .,neutral,nokia messaging 11 enables customer receive email increase 10 email account mobile phone sincreaseporting pop imap email service
"Production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes .",positive,production capacity rise gradually 170000 tonne 215000 tonne
Ramirent s Danish subsidiary Ramirent A-S has today signed an agreement to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,positive,ramirent danish subsidiary ramirent signed agreement acquire business asset machinery rental company jydsk materiel udlejning located west jutland
SHARE REPURCHASE 11.01.2008 In the Helsinki Stock Exchange On behalf of Sampo plc Danske Bank A-S Helsinki Branch,neutral,share repurchase 11012008 helsinki stock exchange behalf sampo plc danske bank helsinki branch
Solidium picked up Tikkurila shares as a dividend at a book value of EUR15 .80 per share .,neutral,solidium picked increase tikkurila share dividend book value eur15 80 per share
"Takoma will carry out the transaction by acquiring the entire share capital of Moventas Parkano Oy , which runs the factory in Parkano , southern Finland .",neutral,takoma carry transaction acquiring entire share capital moventas parkano oy run factory parkano southern finland
"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",positive,agreement provide switch double converter capacity whilst opening increase manufacturing location china
"The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , developing all types of premium residential and commercial projects for sale and investment .",neutral,building owner developer sun hung kai property groincrease one largest property company hong kong developing type premium residential commercial project sale investment
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,company aim finalize negotiation sign contract start october 2008
The companies signed the letter of intent for the sale on 17 September 2010 and envisaged to seal the actual agreement on 1 January 2011 .,neutral,company signed letter intent sale 17 september 2010 envisaged seal actual agreement 1 january 2011
"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",positive,company said november 16 2006 real estate fund ky signed agreement finnish window maker fenestra oy build window plant forssa southern finland
The company has committed to further expanding the Apollo portfolio .,positive,company committed expanding apollo portfolio
"The contract , which was signed yesterday , will run for five years and includes a two-year extension option .",neutral,contract signed yesterday run five year includes twoyear extension option
"The contract covers installation , training and start-up services .",neutral,contract cover installation training startincrease service
"The contract value amounts to about EUR11m , the company added .",neutral,contract value amount eur11m company added
The contracts have been signed to acquire uranium produced at the Sotkamo nickel-zinc mine in eastern Finland owned by Talvivaara .,positive,contract signed acquire uranium produced sotkamo nickelzinc mine eastern finland owned talvivaara
"The expanded agreement covers the sale , marketing and distribution of Benefon 's navigation and locator devices in China .",neutral,expanded agreement cover sale marketing distribution benefon navigation locator device china
"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday .",positive,omx nordic 40 omxn40 index comprising 40 traded nordic stock nasdaq omx exchange closed increase 043 percent 113884 point wednesday
"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 1.29 % at 1,084.47 points on Friday .",positive,omx nordic 40 omxn40 index comprising 40 traded nordic stock nasdaq omx exchange closed increase 129 percent 108447 point friday
TietoEnator signed an agreement to acquire Indian research and development ( R&D ) services provider and turnkey software solutions developer Fortuna Technologies Pvt. Ltd. for 21 mln euro ( $ 30.3 mln ) in September 2007 .,neutral,tietoenator signed agreement acquire indian research development randd service provider turnkey software solution developer fortuna technology pvt ltd 21 mln euro dollar 303 mln september 2007
To be number one means creating added value for stakeholders in everything we do .,neutral,number one mean creating added value stakeholder everything
"Under the terms of the off-take agreement with Talvivaara , Cameco will provide an up-front investment , to a maximum of $ 60 million , to cover the construction cost of the uranium extraction circuit .",positive,term offtake agreement talvivaara cameco provide increasefront investment maximum dollar 60 million cover construction cost uranium extraction circuit
"Vaisala Oyj Press Release September 30 , 2010 Vaisala has signed a contract to sell its oxygen measurement technology and business to SICK Maihak GmbH .",positive,vaisala oyj press release september 30 2010 vaisala signed contract sell oxygen measurement technology business sick maihak gmbh
"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has signed a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",positive,beijing xfnasia hong konglisted standard chartered bank said signed china mobile phone dealer financing agreement nokia making first foreign bank offer financing country small medium enterprise lr
- Provides summary of the medical equipment pipeline products that the company is developing .,neutral,provides summary medical equipment pipeline product company developing
"`` Of course , we are in talks with all those coming up with new projects that involve material handling , '' Konecranes President and CEO Pekka Lundmark said , when asked whether it was talking to Reliance Industries for supplying equipment to its upcoming refinery in Jamnagar .",neutral,course talk coming increase new project involve material handling konecranes president ceo pekka lundmark said asked whether talking reliance industry sincreaseplying equipment increasecoming refinery jamnagar
"`` Lidskoe Pivo 's investment program foresees the integrated modernization of production , updating transport and logistics infrastructure and developing new marketing instruments , '' Mikshis said .",positive,lidskoe pivo investment program foresees integrated modernization production increasedating transport logistics infrastructure developing new marketing instrument mikshis said
`` Residentialconstruction in particular has picked up in several markets .,positive,residentialconstruction particular picked increase several market
`` Ruukki is now included on DJSI World for the second year running and the European DJSI STOXX for the third year running .,neutral,ruukki included djsi world second running european djsi stoxx third running
`` The sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments .,neutral,sale oxygen measurement business strengthens goal focus chosen market segment
"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",neutral,corresponding increase 8543250 euro ahlstrom share capital entered trade register
"A In August 2007 , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , central Lithuania .",neutral,august 2007 latvijas finieris ordered production line new green veneer mill built ukmerge central lithuania
Finnish house manufacturers are targeting the strongly growing one-family house market in Russia .,neutral,finnish house manufacturer targeting strongly growing onefamily house market russia
"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",positive,transaction alma medium raised stake talentum 3065 percent share 3112 percent voting right
Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .,neutral,aldata said still number operational aspect defined microsoft detail product market initiative resulting agreement available later date
"ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has developed an ornamental design for a handle for fire pit door , the U.S. Patent & Trademark Office announced .",neutral,alexandria va july 11 hannu kahonen juuka finland developed ornamental design handle fire pit door u patent trademark office announced
"ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,alexandria va may 16 kenneth bower vista calif developed ornamental design handset u patent trademark office announced
"As the largest elevator market in the world , Chinese output of elevators continued to rise to 262,000 units in 2009 , up about 5 % yr-on-yr .",positive,largest elevator market world chinese output elevator continued rise 262000 unit 2009 increase 5 percent yronyr
Aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of Rs310 crore .,neutral,aspocomp intends set increase plant manufacture printed circuit board investment rs310 crore
"Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing a project in St Petersburg , comprising about a million square meters of residential space , two hospitals and several schools and nurseries .",neutral,baltic pearl cjsc subsidiary shanghai foreign joint investment company developing project st petersburg comprising million square meter residential space two hospital several school nursery
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",neutral,biohit oyj develops manufacture market liquid handling product diagnostic test system use research healthcare industrial laboratory
Calls to the switchboard and directory services have decreased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,neutral,call switchboard directory service decreased significantly since employee increasetodate contact information colleague customer phone place call directly
"Cargotec 's share capital after the increase totals 64,046,460 euros .",neutral,cargotec share capital increase total 64046460 euro
"Cargotec 's share capital after the increase totals EUR 64,299,180 .",neutral,cargotec share capital increase total eur 64299180
"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .",positive,compared ftse 100 index rose 283 point 05 percent day relative price change 23 percent
Componenta increased its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,positive,componenta increased stake turkish steel company doktas dokumculuk ticaret sanayi 926 pct stake march 2007
"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .",positive,earnings per share earnings per share seen eur 056 increase eur 038
Estonia 's beer market overall grew three percent last year to 130 million liters .,positive,estonia beer market overall grew three percent last 130 million liter
Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m .,neutral,finnish food company raisio oyj hel raivv said friday wrapped increase divestment margarine operation u sector player bunge ltd nyse bg eur80m usd119 2
Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,positive,finnish lifting equipment maker konecranes hel kcr1v said 29 july 2009 raised stake austrian manipulator maker ac konecranes 80 percent bought german sector player knight europe
Finnish paper maker UPM-Kymmene Corp. on Monday announced the sale of its wrapping unit Walki Wisa to the CapMan investment group in a move to further concentrate on its core business .,neutral,finnish paper maker upmkymmene corp monday announced sale wrapping unit walki wisa capman investment groincrease move concentrate core business
Following the increase the company+EUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,neutral,following increase companyeur tm capital total 55 mln romanian lei dollar 198 mln1 56 mln euro
"HELSINKI AFX - KCI Konecranes said it has raised its stake in MMH Holdings Inc , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct .",positive,helsinki afx kci konecranes said raised stake mmh holding inc owner usbased morris material handling 909 pct 745 pct
"In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m .",neutral,2008 generated net sale eur 93 million usd 131
"In August , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , Lithuania .",neutral,august latvijas finieris ordered production line new green veneer mill built ukmerge lithuania
It delivers a different user experience and enables us to widen the market we can address . '',positive,delivers different user experience enables u widen market address
Jacobs has been supporting Storengy 's investment of developing storage sites since 2006 as owner 's engineer .,neutral,jacob sincreaseporting storengy investment developing storage site since 2006 owner engineer
"ADPnews - Jun 30 , 2009 - Finnish stainless steel maker Outokumpu Oyj HEL : OUT1V said yesterday it signed a three-year EUR 900 million USD 1.3 bn revolving credit facility .",positive,adpnews jun 30 2009 finnish stainless steel maker outokumpu oyj hel out1v said yesterday signed threeyear eur 900 million usd 13 bn revolving credit facility
Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,positive,increase net sale due acquisition swedish silva produce garden tool boat
"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",neutral,mr ashley deputy executive chairman sport direct sold 43pc stake company pound 900m time float
One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production .,negative,one challenge oil production north sea scale formation plug pipeline halt production
Rental of building equipment accounted for 88 percent of the operating income .,neutral,rental building equipment accounted 88 percent operating income
"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .",neutral,ruukki delivery includes steel structure including installation krakeroy bascule bridge steel pile bridge foundation
Sanoma will continue to focus on investing in digital media and on strengthening its market positions .,neutral,sanoma continue focus investing digital medium strengthening market position
Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .,neutral,stockmann established 1862 finland became first foreign company enter russia retail trade market 1989
SysOpen Digia had signed an agreement with the main shareholders of Sentera holding in total 77.39 % of the share capital and votes of Sentera .,positive,sysopen digia signed agreement main shareholder sentera holding total 7739 percent share capital vote sentera
"The acquisition is part of Suomen Helasto 's strategy to expand the LukkoExpert Security chain , Suomen Helasto CEO Kimmo Uusimaki said .",neutral,acquisition part suomen helasto strategy expand lukkoexpert security chain suomen helasto ceo kimmo uusimaki said
"The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,003.34 pts , while the blue-chip WIG20 was 1.13 down at 3,687.15 pts .",neutral,broadbased wig index ended thursday session 01 pct increase 6500334 pt bluechip wig20 113 decrease 368715 pt
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,neutral,business divested generates consolidated net sale eur 60 million annually currently 640 employee
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",neutral,company generates net sale 600 mln euro dollar 7755 mln annually employ 6000
The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,positive,company plan expand international market subsidiary distributor 2011 onwards
The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .,neutral,company plan spend proceeds right offering strengthening balance sheet
"The contract covers the manufacturing , surface-treatment and installation of the steel structures .",neutral,contract cover manufacturing surfacetreatment installation steel structure
"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today .",neutral,corresponding increase share capital eur422 754 entered trade register
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",neutral,corresponding increase share capital total eur 30000 registered finnish trade register may 8 2008
"The corresponding increase in the share capital due to these subscriptions with the warrants , in total EUR 1,860.74 , was registered with the Finnish Trade Register on January 4 , 2008 .",neutral,corresponding increase share capital due subscription warrant total eur 186074 registered finnish trade register january 4 2008
"The corresponding share capital increase , EUR 1,012,945.50 was entered in the Trade Register today .",neutral,corresponding share capital increase eur 101294550 entered trade register
"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .",positive,decision sell share lenenergo reached line fortum strategic plan invest mainly generating asset russia lenenergo grid company press release said
"The equipment will expand container handling capacity at Namibia 's main port of Walvis Bay , on the west coast .",positive,equipment expand container handling capacity namibia main port walvis bay west coast
The expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .,positive,expansion includes doubling floor space addition lifting capacity production equipment
The Group aims to increase its net sales and comparable operating profit in 2006 .,positive,groincrease aim increase net sale comparable operating profit 2006
The order also includes start-up and commissioning services .,neutral,order includes startincrease commissioning service
"The order consists of capacity expansion , maintenance services and new charging functionality , the company said .",neutral,order consists capacity expansion maintenance service new charging functionality company said
The phones are targeted at first time users in growth markets .,neutral,phone targeted first time user growth market
"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds .",neutral,repayment eur 105 million debenture bond related company previous announcement october 21 2009 collect irrevocable selling commitment holder subordinated debenture bond
The revenues of the business reached NOK 12 million for 2008 .,neutral,revenue business reached nok 12 million 2008
"The subscriptions increase Cargotec 's share capital by 36,780 euros .",positive,subscription increase cargotec share capital 36780 euro
"The subscriptions increase Cargotec 's share capital by EUR 27,060 .",positive,subscription increase cargotec share capital eur 27060
"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should double Atria Russia 's production capacity in the St Petersburg area .",positive,total area gorelovo plant 22000 sq atrium invested euro 70mn plant double atrium russia production capacity st petersburg area
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .,neutral,tielinja generated net sale 75 mln euro dollar 96 mln 2005
"Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 .",neutral,tikkurila powder coating 50 employee four paint plant generated revenue eur2 4 usd3 3 2010
U.S. District Judge Douglas P. Woodlock yesterday extended a Jan. 17 temporary restraining order until March 7 .,neutral,u district judge douglas p woodlock yesterday extended jan 17 temporary restraining order march 7
"UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - The British miniature antennas maker Sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of Elcoteq in the Estonian capital Tallinn .",neutral,uk sarantel outsource part process elcoteq plant estonia london oct 13 bns british miniature antenna maker sarantel signed agreement outsource assembly test sincreaseply chain process plant elcoteq estonian capital tallinn
"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 .",neutral,rental agreement stockmann committed invest building bridge gogol street build underground tunnel crossing street 2004
We have made long-term investments in developing the system 's implementation model .,neutral,made longterm investment developing system implementation model
"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .",positive,launch new 3g handset nokia aim become winner china 3g market 2g market
"With this subscription , Fortum 's ownership in TGK-10 has increased to slightly over 76 % of shares and voting rights .",neutral,subscription fortum ownership tgk10 increased slightly 76 percent share voting right
VNH generates annual net sales of about 5 mln eur and employs 21 people .,neutral,vnh generates annual net sale 5 mln eur employ 21 people
"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 .",positive,earnings per share earnings per share first quarter 2007 amounted eur0 07 increase eur0 04
